query_id,user_query,language,intent,record_id,service_name,department,category,record_type,description,eligibility,benefits,documents_required,application_process,service_charge,apply_url,official_url
Q0071,இந்த Printing of Birth Certificate பற்றி தகவல் வேண்டும்,Tamil,information_request,DPH-102,Printing of Birth Certificate,Directorate of Public Health,Certificate,eSevai_service,,,,Not specified in the official sources reviewed,e-Sevai Centre,₹ 100,,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx; https://www.tnesevai.tn.gov.in/Pages/UserManual.aspx
Q0077,Printing of Death Certificate epdi apply panradhu?,Tanglish,application_help,DPH-103,Printing of Death Certificate,Directorate of Public Health,Certificate,eSevai_service,,,,Not specified in the official sources reviewed,e-Sevai Centre,₹ 100,,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx; https://www.tnesevai.tn.gov.in/Pages/UserManual.aspx
Q0082,Printing of registration ID epdi apply panradhu?,Tanglish,application_help,EMP-502,Printing of registration ID,Employment Training,Employment,eSevai_service,,,,Not specified in the official sources reviewed,e-Sevai Centre,₹ 15,,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx; https://www.tnesevai.tn.gov.in/Pages/UserManual.aspx
Q0087,Application for Renewal epdi apply panradhu?,Tanglish,application_help,EMP-504,Application for Renewal,Employment Training,Employment,eSevai_service,,,,Not specified in the official sources reviewed,e-Sevai Centre,₹ 15,,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx; https://www.tnesevai.tn.gov.in/Pages/UserManual.aspx
Q0097,Application for Registration epdi apply panradhu?,Tanglish,application_help,EMP-503,Application for Registration,Employment Training,Employment,eSevai_service,,,,Not specified in the official sources reviewed,e-Sevai Centre,₹ 10,,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx; https://www.tnesevai.tn.gov.in/Pages/UserManual.aspx
Q0102,Accident Relief Scheme epdi apply panradhu?,Tanglish,application_help,ars,Accident Relief Scheme,Social Welfare and Nutritious Meal Programme Department,Social welfare & Empowerment,Tamil_Nadu_scheme,"The scheme ""Accident Relief Scheme"" was launched by the Social Welfare and Nutritious Meal Programme Department, Government of Tamil Nadu. The scheme aims to provide financial assistance of ₹20,000/- to the legal heirs of the household BPL on the death of a “Primary breadwinner” (male or female).","1. The breadwinner of the family, whether male or female, must be an earning member. 1. The breadwinner&#39;s death was caused by an accident. 1. The family should belong to the BPL category. 1. Legal heirs of the deceased primary breadwinner of the family. 1. The family members engaged in the [44 categories (Page No. 139)](https://www.tn.gov.in/rti/proactive/swnmp/citizen_social_welfare.pdf) of notified employment.","- Financial assistance of ₹20,000/- is given to the legal heirs of the household below poverty line. **NOTE:** Depending upon the nature of the injury sustained and the degree of physical impairment, relief of ₹5,000 to ₹15,000 is given.",Copy of Ration Card. Copy of Aadhaar Card. First Information Report (FIR). Death Certificate of the Breadwinner.,"[Offline] Step 1: The interested applicant should visit (during office hours) the district Taluk office of the Tahsildars and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Collector/Revenue Divisional Officer/Special Tahsildar. Step 4: Request a receipt or acknowledgment from the Tahsildars to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). Application Deadline:The application should be sent within 6 months of the death.",,https://www.tnsocialwelfare.tn.gov.in/website-345/sites/default/files/2022-01/citizen_chart_2017_18.pdf,https://www.myscheme.gov.in/schemes/ars
Q0108,What documents are needed for Adi Dravidar and Tribal Welfare Department-Hostels: Special Guides?,English,document_help,adthsg,Adi Dravidar and Tribal Welfare Department-Hostels: Special Guides,Adi Dravidar and Tribal Welfare Department,"Education & Learning, Housing & Shelter",Tamil_Nadu_scheme,The scheme provides hostel facilities to all boys and girls boarders studying up to XII Standard.,- The beneficiary should be a Student. - The beneficiary should be a resident of Tamil Nadu. - The beneficiary should belong to the Adi Dravidar/ Tribal community. - The beneficiary should be enrolled within XII Standard (Stn. XII or lower).,- **Accommodation:** Hostel facility for all Boys/ Girls Boarders studying upto XII Standard. <br>,Proof of identity (Aadhar card or any other document as directed by the authority). Caste certificate (Adi Dravidar/ Tribal community). Income certificate (if applicable). Admission/ Enrollment proof in school. Any other documents (if required).,[Offline] Students/ Guardians should contact the warden or matron of the hostel with all the required documents as directed by the authority.,,https://www.tn.gov.in/scheme/data_view/83078,https://www.myscheme.gov.in/schemes/adthsg
Q0114,Adi Dravidar and Tribal Welfare Department-Incentive/Award of Prizes ku eligibility enna?,Tanglish,eligibility_query,adtwdiap,Adi Dravidar and Tribal Welfare Department-Incentive/Award of Prizes,Adi Dravidar and Tribal Welfare Department,Education & Learning,Tamil_Nadu_scheme,The scheme “Adi Dravidar and Tribal Welfare Department-Incentive/Award of Prizes” offers incentives to One Boy and One Girl each from Adi Dravidar/ Tribal/ Adi Dravidar Converted to Christianity who have secured highest mark who have achieved top marks in 10th and 12th standard examinations.,- The beneficiary should be a Student. - The beneficiary should be a resident of Tamil Nadu. - The beneficiary should belong to the Adi Dravidar/ Tribal/ Adi Dravidar (converted to Christianity) community. - The beneficiary should have secured the highest marks in 10th or 12th standard exams within the district.,"- **10+2 Examination:** ₹3,000/-. - **10th Std. First Prize:** ₹1,000/-. - **10th Std. Second Prize:** ₹5,00/-. - **10th Std. Third Prize:** ₹3,00/-. <br>",Proof of Identity (Aadhaar card). Mark sheets of the 10th or 12th standard examination. Community certificate (Adi Dravidar/ Tribal/ Adi Dravidar Converted to Christianity). Bank Account details for prize transfer. Any other documents (if required).,"[Offline] Step 1: The interested applicant should collect the application form from the office of the District Adi Dravidar and Tribal Welfare Officer. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority. Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission and a unique identification number (if applicable).",,https://www.tn.gov.in/scheme/data_view/83082,https://www.myscheme.gov.in/schemes/adtwdiap
Q0124,Adi Dravidar and Tribal Welfare Department: Scholarship-Free Education upto 12th Std. to All ku eligibility enna?,Tanglish,eligibility_query,adtwsfe,Adi Dravidar and Tribal Welfare Department: Scholarship-Free Education upto 12th Std. to All,Adi Dravidar and Tribal Welfare Department,Education & Learning,Tamil_Nadu_scheme,"This scheme provides free education for Adi Dravidar, Tribal and Adi Dravidar (Converted to Christianity) students up to 12th standard, covering tuition fees, which are reimbursed by the government.",- The beneficiary should be a Student. - The beneficiary should be a resident of Tamil Nadu. - The beneficiary should belong to the Adi Dravidar/Tribal/Adi Dravidar converted to Christianity community. - The beneficiary must be enrolled in a school up to the 12th standard.,- Reimbursement: Full reimbursement of tuition fees for students up to the 12th standard.,Proof of identity (Aadhar card or any other document as directed by the authority). Caste certificate Adi Dravidar/Tribal/Adi Dravidar Converted to Christianity community). Income certificate (if applicable). Proof of Admission. Any other documents (if required).,[Offline] Students/ Guardians should contact the Headmaster of the School with all the required documents as directed by the authority.,,https://www.tn.gov.in/scheme/data_view/83084,https://www.myscheme.gov.in/schemes/adtwsfe
Q0129,Adi Dravidar and Tribal Welfare Department: Scholarship-Public Examination Fee for 10th and 12th Std. ku eligibility enna?,Tanglish,eligibility_query,adtwspe,Adi Dravidar and Tribal Welfare Department: Scholarship-Public Examination Fee for 10th and 12th Std.,Adi Dravidar and Tribal Welfare Department,Education & Learning,Tamil_Nadu_scheme,"The scheme provides reimbursement of public examination fees for 10th and 12th standard students from the Adi Dravidar, Tribal, and Adi Dravidar Converted to Christianity communities, with no income limit.",- The beneficiary should be a Student. - The beneficiary should be a resident of Tamil Nadu. - The beneficiary should belong to the Adi Dravidar/Tribal/Adi Dravidar converted to Christianity community. - The beneficiary must be appearing for public examinations of 10th/12th Std.,- **Reimbursement:** Full reimbursement on Public Examination fee for 10th and 12th Std. students. &lt;br&gt;,Proof of identity (Aadhar card or any other document as directed by the authority). Caste certificate Adi Dravidar/Tribal/Adi Dravidar Converted to Christianity community). Public examination registration slip. Any other documents (if required).,[Offline] Students/ Guardians should contact the Headmaster of the School with all the required documents as directed by the authority.,,https://www.tn.gov.in/scheme/data_view/83085,https://www.myscheme.gov.in/schemes/adtwspe
Q0136,இந்த Admission of Adi Dravidar/Tribal Students in Plus One at Reputed Schools பற்றி தகவல் வேண்டும்,Tamil,information_request,aadtsrs,Admission of Adi Dravidar/Tribal Students in Plus One at Reputed Schools,Adi Dravidar and Tribal Welfare Department,Education & Learning,Tamil_Nadu_scheme,"This scheme provides education benefits by admitting top Adi Dravidar/Tribal Students into reputed private schools for Plus One, covering 320 students annually across districts.","- The beneficiary should be a Student. - The beneficiary should be currently enrolled in school. - The beneficiary should be a resident of Tamil Nadu. - The beneficiary should belong to the Adi Dravidar/Tribal community. - The beneficiary must have secured the highest marks in Class X from Government/Corporation/Municipal/Adi Dravidar and Tribal Welfare schools. - Beneficiary’s annual family income should be less than ₹1,00,000/-.","- **Admission Assistance:** Free admission into reputed private schools for Plus One. - **Financial Coverage:** ₹28,000/- per year, including boarding charges. &lt;br&gt;","Proof of identity (Aadhar card or any other document as directed by the authority). Caste certificate (SC/ST). Income certificate (Annual income less than ₹1,00,000/-). Marksheet of Class X. Admission registration slip. Any other documents (if required).","[Offline] Step 1: The interested applicant should collect the application form from the District Collector’s office. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Collector’s office. Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable).",,https://www.tn.gov.in/scheme/data_view/26796,https://www.myscheme.gov.in/schemes/aadtsrs
Q0141,இந்த Afforestation Schemes Providing Incentives And Employment To Tribals In Forest பற்றி தகவல் வேண்டும்,Tamil,information_request,aspie,Afforestation Schemes Providing Incentives And Employment To Tribals In Forest,Adi Dravidar and Tribal Welfare Department,"Skills & Employment, Agriculture,Rural & Environment",Tamil_Nadu_scheme,"This scheme offers grants to unemployed tribals for afforestation work, providing them with incentives and employment opportunities in forest operations.",- The beneficiary should be a resident of Tamil Nadu. - The beneficiary should belong to the Tribal community. - The beneficiary should be Unemployed.,- **Incentive:** Financial grants for afforestation activities. - **Employment:** Employment opportunities in forest management. &lt;br&gt;,"Proof of identity (Aadhar card or any other document as directed by the authority). Identity proof (Aadhar, Voter ID). Proof of residence in the tribal/forest area. Unemployment certificate (if applicable). Community certificate (if applicable). Any other documents (if required).","[Offline] Step 1: The interested applicant should collect the application form from the office of the District Forest Officer (DFO). Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the office of the District Forest Officer (DFO). Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable).",,https://www.tn.gov.in/scheme/data_view/83087,https://www.myscheme.gov.in/schemes/aspie
Q0148,What documents are needed for Amma Two Wheeler Scheme for Working Women?,English,document_help,atwsfww,Amma Two Wheeler Scheme for Working Women,Department of Social Welfare and Women Empowerment,"Social welfare & Empowerment, Transport & Infrastructure",Tamil_Nadu_scheme,The Amma Two-wheeler is a scheme that will empower working women in Tamil Nadu State.,"1. The applicant should be a native of and residing in Tamil Nadu. 1. The applicant should be in the age group of 18 to 40 years. 1. The applicant should know how to drive and possess a valid Two Wheeler / Learner License Registration (LLR) at the time of applying. 1. The annual income of the beneficiary should not exceed ₹ 2,50,000/-. 1. Only woman and only one woman will be eligible to avail of the benefit in a family. 1. The applicant should have appeared for the class 8th examination (Passed/Failed). 1. Priority will be given to working women residing in remote places, hilly regions, women-headed households, deserted women, destitute widows, differently abled women, Unmarried women aged above 35 years, Scheduled Caste/Tribes, and Transgender. <br> > **Note** Saving clause: if the applicant has applied with a Learner License Registration(LLR) she should get a valid Two Wheeler Driving License before submitting the subsidy claim form. She should also attach a copy of the two Wheeler Driving License to the subsidy claim form, at the time of applying. Further, she should produce the original Driving License for official verification, as and when needed.","**The reservation under the Amma two-wheeler scheme is as follows:** - 21% of the scheme&#39;s allocation is reserved for women belonging to Scheduled Castes. - 1% of the scheme’s allocation is reserved for women belonging to Scheduled Tribes. - 4% of the scheme’s allocation is reserved for differently abled women (across all categories). <br> > **Subsidy:** A beneficiary under this scheme will be provided with a maximum subsidy of 50% of the cost of the vehicle or ₹25,000/- whichever is less, to purchase a brand new motorized gearless / auto-geared two-wheeler whose engine capacity should not exceed 125cc. The balance cost, over and above the subsidy amount, has to be borne by the beneficiary through a bank/institutional loan or her funds. <br> > **Loan Facilities:** The beneficiary can buy the vehicle of her choice from her funds or by availing loans from Banks/Non-Banking Finance Companies (NBFCs) governed by the rules of the Reserve Bank of India (RBI). Reimbursement of subsidy to the beneficiary will be permitted in case the vehicle is purchased from her funds, subject to the fulfillment of the other conditions specified for eligibility <br> <br>","Proof of Age (18 to 40) / Date of birth Proof of Residence ( EPIC card, Driving License, Aadhar Card, Utility Bills, etc.,in the Applicant’s name) Driving License / Learner License Registration (LLR) issued by competent authority Income Certificate issued by Employer / Self Certification Proof of Employment issued by the Employer/Organization/Project Head/society in case of Wage / Salaried employment. Aadhaar card. Proof of Educational Qualification / Appearance for the VIII standard exams (Transfer Certificate, SSLC, etc.,) Passport size photograph Proof to establish membership of priority category, wherever applicable Community Certificate (in case of Scheduled Caste (SC) and Scheduled Tribes (ST) category). Differently Abled Identity Card issued by a competent authority Quotation/Pro-forma invoice of the vehicle Note: Driving license / Learner License Registration (LLR) and age proof are mandatory at the time of applying. Any shortcomings should be intimated to the applicant in the acknowledgment slip (Annexure C1).","[Offline] The application form for women in rural areas is different. Applicant can visit the Tamil Nadu Corporation for Development of Women to access the form for rural areas and follow these steps: Application Form Rural : https://pmmodiyojana.in/wp-content/uploads/2020/01/Application-Form-Rural.pdfStep 1: Stick your passport-sized photograph in the designated space. Step 2: Fill in the name of your district, block, village panchayat, etc. Step 3: Furnish your details like name, address, date of birth, father/husband's name, educational qualification, and other relevant information. Step 4: Provide details including the price of the scooter you want to buy. Mention whether you are purchasing the vehicle from your funds or a loan. Also enclose your vehicle’s invoice quotation and details of the bank if taking a loan, etc. Step 5: You are also required to mention the documents enclosed with the application form. Step 6: Mention the date and place and do your signature on the application form. Step 7: The application forms will be filled and submitted to the respective Block offices / Urban Local Bodies (ULBs) Application for Urban Areas :https://pmmodiyojana.in/wp-content/uploads/2020/01/Application-Form-Urban.pdfStep 1: Stick your passport-sized photograph in the designated space. Step 2: Fill in the name of your district, corporation, municipality, town panchayat, ward, etc. Step 3: Furnish your details like name, date of birth, father/husband's name, educational qualification, address, and other relevant information. Step 4: Provide driving or learner’s license details and details of the vehicle you wish to buy. You must also provide the invoice quotation, bank details if availing a loan, etc. Step 5: Mention the additional documents like driver or learner’s license, Aadhaar number, proof of education, community certificate, etc. Step 6: Mention the date and place and do your signature on the application form. Step 7: The application forms will be filled and submitted to the respective Block offices / Urban Local Bodies (ULBs).",,https://govtschemes.in/sites/default/files/2022-05/Amma%20Two%20Wheeler%20Yojana.pdf,https://www.myscheme.gov.in/schemes/atwsfww
Q0156,இந்த Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-I பற்றி தகவல் வேண்டும்,Tamil,information_request,atnmasfogi,Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-I,Department of Social Welfare and Women Empowerment,"Women and Child, Social welfare & Empowerment",Tamil_Nadu_scheme,"""Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-I"" was launched by the Social Welfare and Women Empowerment Dept, Govt of Tamil Nadu. The scheme provides financial assistance to the orphan girls for their marriage. The bride should be 18 years or older during her marriage.",1. The applicant should be a girl. 1. The applicant should be an orphan. 1. The bride should be 18 years or above at the time of marriage.,"- Financial assistance of ₹25,000/-. - One sovereign (8gm) 22-carat gold coin for making Thirumangalyam. > **Mode of Disbursal:** Through Electronic Clearing Service.","1. Death Certificate of Father & Mother or Orphan Certificate (Issued by a Member of Parliament (MP)/ Member of the Legislative Assembly (MLA)). 2. Income Certificate from Tahsildar. 3. Marriage Invitation. 4. Age Proof of the Bride. 5. Bride’s Photograph. 6. Bills towards the Purchase of Marriage Articles for ₹1,000/-. 7. Any other document as required by the Department.","[Online - via CSC] Step 1: The applicant should gather copies of the necessary documents needed to apply for the concerned scheme. Step 2: The applicant should visit the nearest Common Service Center (CSC) and complete the Biometric Verification Process. Step 3: In the application form, fill in all the mandatory fields and upload copies of all the mandatory documents. Step 4: Request a receipt or acknowledgment from the CSC. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). Application Deadline40 days before the marriage date (In exceptional circumstances, the application can be submitted one day before the marriage date). [Offline] Step 1: The interested applicant should take print of the prescribed format of the application form. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Social Welfare Officer/ Extension Officer (Social Welfare). Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). Application Deadline40 days before the marriage date (In exceptional circumstances, the application can be submitted one day before the marriage date).",,https://cms.tn.gov.in/sites/default/files/forms/social_welfare_form12.pdf,https://www.myscheme.gov.in/schemes/atnmasfogi
Q0164,Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-II ku eligibility enna?,Tanglish,eligibility_query,atnmasfogii,Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-II,Department of Social Welfare and Women Empowerment,"Women and Child, Social welfare & Empowerment",Tamil_Nadu_scheme,"""Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-I"" was launched by the Social Welfare and Women Empowerment Dept, Govt of Tamil Nadu. The scheme provides financial assistance to the orphan girls for their marriage. The bride should be 18 years or older during her marriage.","1. The applicant should be a girl. 1. The applicant should be an orphan. 1. The bride should be 18 years or above at the time of marriage. 1. The applicant should have a degree passed from regular colleges, distance education/government-recognized open university. 1. The applicant should have a diploma passed from the Institution recognized by the Directorate of Technical Education, Government of Tamil Nadu.","- Financial assistance of ₹25,000/-. - One sovereign (8gm) 22-carat gold coin for making Thirumangalyam. > **Mode of Disbursal:** Through Electronic Clearing Service.","1. Death Certificate of Father & Mother or Orphan Certificate (Issued by a Member of Parliament (MP)/ Member of the Legislative Assembly (MLA)). 2. Income Certificate from Tahsildar. 3. Marriage Invitation. 4. Age Proof of the Bride. 5. Bride’s Photograph. 6. Bills towards the Purchase of Marriage Articles for ₹1,000/-. 7. Any other document as required by the Department.","[Online - via CSC] Step 1: The applicant should gather copies of the necessary documents needed to apply for the concerned scheme. Step 2: The applicant should visit the nearest Common Service Center (CSC) and complete the Biometric Verification Process. Step 3: In the application form, fill in all the mandatory fields and upload copies of all the mandatory documents. Step 4: Request a receipt or acknowledgment from the CSC. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). Application Deadline40 days before the marriage date (In exceptional circumstances, the application can be submitted one day before the marriage date). [Offline] Step 1: The interested applicant should take print of the prescribed format of the application form. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Social Welfare Officer/ Extension Officer (Social Welfare). Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). Application Deadline40 days before the marriage date (In exceptional circumstances, the application can be submitted one day before the marriage date).",,https://cms.tn.gov.in/sites/default/files/forms/social_welfare_form11.pdf,https://www.myscheme.gov.in/schemes/atnmasfogii
Q0169,Annal Ambedkar Business Champions Scheme ku eligibility enna?,Tanglish,eligibility_query,aabcs,Annal Ambedkar Business Champions Scheme,Micro Small and Medium Enterprises Department,Business & Entrepreneurship,Tamil_Nadu_scheme,"The scheme “Annal Ambedkar Business Champions Scheme (AABCS)” was launched by the Department of Micro, Small and Medium Enterprises, Government of Tamil Nadu.","1. The applicant should be a resident of the State of Tamil Nadu. 1. The beneficiaries shall be persons belonging to SC/ST communities. Enterprises supported under the scheme shall be 100% owned by persons belonging to SC/STs. The enterprises may have any legal personality allowed to conduct business for profit as per prevailing laws which include sole proprietorship, partnership, and company. 1. The scheme can support both new enterprises and expansion of existing enterprises. 1. The eligible enterprises can be business enterprises in the areas of manufacturing and services. Trading-related projects which are above the threshold of assistance under the existing Unemployed Youth Employment Generation Programme (UYEGP) scheme will also be covered. 1. The age limit for beneficiaries will be 55 years. 1. There shall be no minimum educational qualification for beneficiaries. 1. There will be no bar on the beneficiary to claim additional capital subsidy from schemes operated by agencies not controlled by the Government of Tamil Nadu. This will include the Credit Linked Capital Subsidy Scheme (CLCSS) of the Union Government, schemes of Coir Board, etc., 1. Entrepreneurship Development Training will be given to all beneficiaries by Entrepreneurship Development and Innovation Institute, as done in the case of the New Entrepreneur-cum- Enterprise Development Scheme (NEEDS). **Note 01:** The scheme will cover new entrepreneurs and existing entrepreneurs. **Note 02:** Eligible Project Cost shall include all investments of a capital nature and will include land, plant, machinery, testing equipment, and computing devices, Cost of land may be taken into account for the purposes of calculating subsidy which should not exceed 20% of the total project cost. Vehicles shall be considered as part of project cost only in cases where the vehicle is integral to the business process as in the case of taxi and lorry business, earth moving equipment, bore well drilling, sanitary service equipment like Jet Roding machines, etc., **Note 03:** This training will be given even for prospective applicants or their wards where subsidy applications are under process. Convergence with existing training schemes of the Government, including the Tamil Nadu Skill Development Corporation (TNSDC) will also be implemented for this purpose.","1. Under the scheme, the State Government will provide a 35% capital subsidy on the Eligible Project Cost, not exceeding ₹1.5 Crore. 1. A 6% interest subvention will be given for loans sanctioned under this scheme. **Note 01:** Interest subvention will be given to loans sanctioned by scheduled Commercial Banks, Co-Operatives Banks, Tamil Nadu Industrial Investment Corporation, and Non-Banking Financial Companies (NBFCs) during the tenure of the loan not exceeding 10 years. **Note 02:** The capital subsidy sanctioned will be provided frontend to the extent necessary to constitute margin money requirement for credit linkage. **Note 03:** The working capital sanctioned for the project shall be eligible for interest subvention for a period not exceeding 2 years.","1. Identity proof i.e. copy of Election ID Card/ Aadhaar card 2. Copy of PAN Card 3. Passport size photo 4. Proof of age 5. Caste/Community Certificate 6. Residence proof 7. Bank account details 8. Any other documents, if required","[Online] Step 01: The applicant willing to avail loan under the AABCS scheme should fill up the online application through the Official Website of the Micro, Small and Medium Enterprises Department, Government of Tamil Nadu. Step 02: On the home page, click on “Apply Online” and then “New Application”. Step 03: Click on ‘Register’ and fill in the details like Name, Date of Birth, Email ID, Aadhaar Number & Mobile Number. Step 04: After successful registration, click on ‘login’ and fill in all the mandatory details. Step 05: Upload all the necessary documents and submit the application form. Dos and Don’ts While Filing Online Application",,https://msmeonline.tn.gov.in/aabcs/aabcs_desc.php,https://www.myscheme.gov.in/schemes/aabcs
